audio_filename,start_time,end_time,transcription
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,5.179,8.574,آنا مواطن تونسي من مدنين من قرية إسمها أم التمر
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,9.75,11.143,من عايلة فقيرة جدا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,12.419,25.809,توا الأكيد كي بش نبدا نحكي برشا بش يقولوا وكأنه يتاجر يعني بماضيه برشا برشا قالوها لي زعما أوه مناضل لست مناضل ومانيش من عايلة مناضلة
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,25.809,28.806,ولكن النضال أشكال
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,29.796,33.921,آنا كي حليت عينيا أول فشل الساعة آنا نمن بالفشل
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,34.938,36.647,يصنع ال الأسطورة
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,37.749,42.378, أول فشل الساعة في حياتي أنني حليت عينيا إم ما لقيتش بابا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,43.836,47.832,أذاكا الساعة الل السؤال لي قعدت إن نسئل فيه
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,49.843,50.957,آم
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,52.273,65.157, ثاني فشل وقت اللي آ لقيت بابا لقيت آ روحي مطالب أنني آ أغادر أ تلك الطفولة الجميلة ولاد خالاتي وعماتي
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,65.157,73.426,فهمتني الناس لي تربيت معاهم ولعبت معاهم وعملت معاهم ذكريات وبنينا أحلام حتى با نقولوا في مدنين بالقزة بالرمل
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,73.426,74.395,فهمتني
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,74.395,80.315,فالوالد كان مضطر أنه يغادر مضطر أنه يغادر مدنين
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,80.315,82.399,فغادر وغادرنا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,83.489,88.005,وتركنا كل شيء أشياءنا وأشلاءنا
Crois_en_toi_et_tout_le_reste_suivra_Jaafer_Guesmi_TEDxNabeul,88.005,92.291,وكنت مطالب أنني نبني طفولة جديدة
